points,pass_atts,pass_cmps,pass_yds,pass_tds,pass_ints,pass_2pts,rush_atts,rush_yds,rush_tds,rush_2pts,recs,rec_yds,rec_tds,rec_2pts,fumbles_lost,is_QB,is_RB,is_WR,is_TE,prev_points
353.00,452,285,"3,475",20,7,0,118,849,6,0,1,17,0,0,0,1,0,0,0,393.00
178.00,475,280,"2,908",11,17,1,56,419,0,0,0,0,0,0,1,1,0,0,0,377.00
124.00,224,141,"1,626",11,3,0,8,25,0,0,0,0,0,0,1,1,0,0,0,372.00
360.00,659,456,"4,952",33,17,0,27,68,1,0,1,1,0,0,3,1,0,0,0,365.00
420.00,520,341,"4,381",38,5,1,43,269,2,0,0,0,0,0,2,1,0,0,0,352.00
327.00,601,379,"4,410",30,14,0,12,31,1,0,0,0,0,0,4,1,0,0,0,352.00
284.00,602,363,"4,257",22,12,1,43,93,2,0,0,0,0,0,3,1,0,0,0,347.00
108.00,204,126,"1,710",10,9,0,7,20,0,0,0,0,0,0,2,1,0,0,0,344.00
318.00,570,379,"4,286",31,18,0,37,102,0,0,0,0,0,0,2,1,0,0,0,337.00
206.00,312,197,"2,483",17,8,0,50,184,2,0,0,0,0,0,1,1,0,0,0,336.00
224.00,599,348,"3,270",21,12,0,29,92,0,0,0,0,0,0,4,1,0,0,0,329.00
224.00,599,348,"3,270",21,12,0,29,92,0,0,0,0,0,0,4,1,0,0,0,329.00
0.00,0,0,0,0,0,0,4,-3,0,0,0,0,0,0,0,1,0,0,0,300.00
242.00,464,303,"3,265",18,6,0,49,254,1,0,0,0,0,0,1,1,0,0,0,299.00
323.00,590,392,"4,045",27,12,0,56,311,1,0,1,-4,0,0,2,1,0,0,0,297.00
251.00,481,309,"3,398",19,17,1,60,169,4,0,1,18,1,0,2,1,0,0,0,286.00
326.00,628,415,"4,694",28,14,1,29,145,0,0,0,0,0,0,2,1,0,0,0,271.00
364.00,608,408,"4,952",32,9,3,33,27,0,0,0,-6,0,0,5,1,0,0,0,264.00
306.00,561,370,"3,812",28,18,4,39,191,2,0,0,0,0,0,6,1,0,0,0,264.00
306.00,561,370,"3,812",28,18,4,39,191,2,0,0,0,0,0,6,1,0,0,0,264.00
306.00,561,370,"3,812",28,18,4,39,191,2,0,0,0,0,0,6,1,0,0,0,264.00
197.00,402,259,"2,919",14,12,2,47,209,1,0,0,0,0,0,0,1,0,0,0,218.00
173.00,438,242,"3,326",12,13,0,24,39,0,0,0,0,0,0,1,1,0,0,0,199.00
303.00,554,344,"3,986",27,12,0,39,70,2,0,0,0,0,0,0,1,0,0,0,185.00
422.00,616,380,"4,761",40,16,0,64,273,3,0,0,0,0,0,6,1,0,0,0,157.00
